<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDJPY,D,20230811,000000,144.8480000,145.0010000,144.3950000,144.9300000,1433125
USDJPY,D,20230813,000000,144.8960000,144.9940000,144.8100000,144.8430000,77135
USDJPY,D,20230814,000000,144.8430000,145.5800000,144.6420000,145.4330000,1614534
USDJPY,D,20230815,000000,145.4360000,145.8660000,145.0920000,145.6210000,1819355
USDJPY,D,20230816,000000,145.6150000,146.4070000,145.2970000,146.3280000,1641207
USDJPY,D,20230817,000000,146.3260000,146.5610000,145.5660000,145.7090000,1716391
USDJPY,D,20230818,000000,145.7090000,145.7960000,144.9180000,145.3800000,1595399
USDJPY,D,20230820,000000,145.1990000,145.4890000,145.1990000,145.3190000,62535
USDJPY,D,20230821,000000,145.3190000,146.4040000,145.1340000,146.2420000,1477038
USDJPY,D,20230822,000000,146.2430000,146.4010000,145.4870000,145.7750000,1449816
USDJPY,D,20230823,000000,145.7750000,145.8150000,144.5300000,144.6740000,1746134
USDJPY,D,20230824,000000,144.6750000,146.0780000,144.6000000,146.0410000,1539098
USDJPY,D,20230825,000000,146.0460000,146.6350000,145.7100000,146.4040000,1594401
USDJPY,D,20230827,000000,146.3990000,146.6170000,146.3720000,146.5400000,69315
USDJPY,D,20230828,000000,146.5360000,146.7460000,146.2620000,146.4630000,1278701
USDJPY,D,20230829,000000,146.4610000,147.3740000,145.6580000,145.9780000,1707963
USDJPY,D,20230830,000000,145.9820000,146.5370000,145.5480000,146.0840000,1782819
USDJPY,D,20230831,000000,146.0890000,146.2280000,145.3390000,145.4830000,1680981
USDJPY,D,20230901,000000,145.4860000,146.2940000,144.4320000,146.1930000,1660961
USDJPY,D,20230903,000000,146.0490000,146.2520000,146.0130000,146.0580000,54748
USDJPY,D,20230904,000000,146.0580000,146.5550000,146.0260000,146.5300000,898284
USDJPY,D,20230905,000000,146.5350000,147.8030000,146.4760000,147.4480000,1537265
USDJPY,D,20230906,000000,147.4550000,147.8180000,147.0050000,147.7100000,1580369
USDJPY,D,20230907,000000,147.7150000,147.8740000,147.0340000,147.3230000,1387197
USDJPY,D,20230908,000000,147.3320000,147.8700000,146.5760000,147.8100000,1420671
USDJPY,D,20230910,000000,146.8650000,147.2760000,146.6150000,147.1290000,138130
USDJPY,D,20230911,000000,147.1260000,147.1470000,145.8920000,146.6690000,1803298
USDJPY,D,20230912,000000,146.6640000,147.2570000,146.4280000,147.1580000,1374197
USDJPY,D,20230913,000000,147.1580000,147.7450000,147.0870000,147.3310000,1650977
USDJPY,D,20230914,000000,147.3290000,147.5660000,147.0060000,147.4630000,1627788
USDJPY,D,20230915,000000,147.4580000,147.9510000,147.3290000,147.8350000,1433105
USDJPY,D,20230917,000000,147.7430000,147.8790000,147.6500000,147.8630000,51314
USDJPY,D,20230918,000000,147.8630000,147.8750000,147.5240000,147.6050000,1186172
USDJPY,D,20230919,000000,147.6120000,147.9240000,147.4900000,147.7510000,1278428
USDJPY,D,20230920,000000,147.7550000,148.3600000,147.4600000,148.3190000,1662990
USDJPY,D,20230921,000000,148.3160000,148.4590000,147.3110000,147.6460000,1627305
USDJPY,D,20230922,000000,147.6480000,148.4190000,147.4970000,148.3600000,1576925
USDJPY,D,20230924,000000,148.3590000,148.4470000,148.2020000,148.4320000,83214
USDJPY,D,20230925,000000,148.4240000,148.9650000,148.2760000,148.8120000,1284604
USDJPY,D,20230926,000000,148.8120000,149.1860000,148.6940000,149.0540000,1536676
USDJPY,D,20230927,000000,149.0450000,149.7090000,148.8520000,149.4920000,1490177
USDJPY,D,20230928,000000,149.4920000,149.5610000,149.1340000,149.3270000,1682412
USDJPY,D,20230929,000000,149.3340000,149.5060000,148.5170000,149.3300000,1676948
USDJPY,D,20231001,000000,149.4190000,149.6320000,149.3720000,149.5300000,110092
USDJPY,D,20231002,000000,149.5200000,149.8780000,149.4450000,149.8550000,1374665
USDJPY,D,20231003,000000,149.8580000,150.1600000,147.2500000,149.1730000,1784197
USDJPY,D,20231004,000000,149.1730000,149.3180000,148.7240000,148.9800000,1778481
